sub-01,64.021598 
sub-02,10.967116 
sub-03,62.640775 
sub-04,87.414646 
sub-05,42.478478 
sub-06,91.811749 
sub-07,56.608647 
sub-08,50.360184 
sub-09,81.308090 
sub-10,48.050903 
sub-11,85.822974 
sub-12,74.177321 
sub-13,95.428511 
sub-14,42.943359 
sub-15,75.649966 
sub-16,91.874301 
sub-17,58.001798 
sub-18,45.233243 
sub-19,103.416432 
sub-20,55.890903 
sub-21,48.080831 
sub-22,53.787354 
sub-23,79.720834 
sub-24,58.475294 
sub-25,55.568584 
sub-26,33.630232 
sub-27,81.764174 
sub-28,108.988875 
sub-29,105.478870 
sub-30,75.233611 
sub-32,67.722360 
sub-33,24.461823 
sub-34,18.453305 
sub-36,69.433566 
sub-37,56.441724 
sub-38,38.508862 
sub-40,54.967999 
sub-42,78.618793 
sub-43,98.727980 
sub-44,27.191026 
sub-45,43.686244 
sub-46,38.920030 
sub-47,23.773903 
sub-48,77.013474 
sub-49,83.667853 
sub-50,53.767922 
sub-53,52.794837 
sub-54,88.320473 
sub-55,53.885726 
sub-56,44.613225 
sub-57,55.312745 
sub-58,78.407726 
sub-59,36.713522 
sub-60,48.134978 
sub-61,78.227638 
sub-62,46.140836 
sub-63,66.020655 
sub-64,73.910461 
sub-65,56.762402 
sub-66,37.021176 
sub-67,54.984939 
sub-68,61.064894 
sub-69,55.338356 
sub-70,76.965255 
sub-71,67.056891 
sub-72,105.953265 
sub-73,18.330454 
sub-74,57.468526 
sub-75,71.873678 
sub-76,62.600242 
sub-77,52.577930 
