sub-01,82.956673 
sub-02,-7.816308 
sub-03,69.724218 
sub-04,92.857690 
sub-05,54.252527 
sub-06,103.181833 
sub-07,69.892384 
sub-08,66.538001 
sub-09,76.877441 
sub-10,61.675990 
sub-11,94.901303 
sub-12,86.862950 
sub-13,80.730165 
sub-14,28.487546 
sub-15,74.302755 
sub-16,88.668231 
sub-17,66.145933 
sub-18,61.308086 
sub-19,106.719524 
sub-20,66.371569 
sub-21,46.056457 
sub-22,71.636288 
sub-23,76.961061 
sub-24,72.680464 
sub-25,53.897289 
sub-26,40.541423 
sub-27,69.057118 
sub-28,126.262314 
sub-29,90.955409 
sub-30,71.107028 
sub-32,82.524809 
sub-33,28.595582 
sub-34,19.317876 
sub-36,56.769064 
sub-37,57.713235 
sub-38,47.121693 
sub-40,69.464615 
sub-42,85.390071 
sub-43,95.622468 
sub-44,24.149035 
sub-45,40.673617 
sub-46,50.366850 
sub-47,26.418995 
sub-48,82.739078 
sub-49,83.367637 
sub-50,52.142790 
sub-53,60.347671 
sub-54,87.052525 
sub-55,51.595155 
sub-56,60.440291 
sub-57,76.893838 
sub-58,91.325262 
sub-59,45.190545 
sub-60,79.510635 
sub-61,77.292778 
sub-62,58.329763 
sub-63,77.215811 
sub-64,84.877409 
sub-65,72.233215 
sub-66,47.270151 
sub-67,41.680102 
sub-68,36.444984 
sub-69,42.433184 
sub-70,77.355844 
sub-71,66.794123 
sub-72,108.551741 
sub-73,17.768686 
sub-74,77.755453 
sub-75,90.452572 
sub-76,96.693600 
sub-77,73.231612 
